Sample in Buffer,Sample in Window,TRIGGER,mipi_phy_inst/lane1_byte_data[7:0],mipi_phy_inst/lane0_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
459,459,0,43,41
460,460,0,54,3c
461,461,0,44,13
462,462,0,74,43
463,463,0,ee,48
464,464,0,3,34
465,465,0,f4,2c
466,466,0,22,68
467,467,0,63,49
468,468,0,23,47
469,469,0,d4,40
470,470,0,73,3b
471,471,0,d3,37
472,472,0,43,3f
473,473,0,20,44
474,474,0,94,3a
475,475,0,d4,3f
476,476,0,73,11
477,477,0,e3,44
478,478,0,63,40
479,479,0,24,41
480,480,0,d4,3d
481,481,0,e3,b8
482,482,0,a3,4a
483,483,0,6d,45
484,484,0,4,40
485,485,0,54,3f
486,486,0,93,27
487,487,0,63,3d
488,488,0,67,3e
489,489,0,44,3b
490,490,0,a4,37
491,491,0,f3,95
492,492,0,d2,3a
493,493,0,2f,3e
494,494,0,83,2e
495,495,0,3,31
496,496,0,a2,2c
497,497,0,42,2c
498,498,0,0e,30
499,499,0,73,31
500,500,0,63,2b
501,501,0,d3,fe
502,502,0,83,3f
503,503,0,6f,3f
504,504,0,24,2f
505,505,0,c4,3c
506,506,0,53,0e
507,507,0,b4,42
508,508,0,1d,41
509,509,0,94,33
510,510,0,34,43
511,511,0,4,5c
512,512,0,64,48
513,513,0,cb,43
514,514,0,54,44
515,515,0,b4,48
516,516,0,e3,1a
517,517,0,43,4c
518,518,0,9d,4b
519,519,0,74,3f
520,520,0,a4,3e
521,521,0,3,9d
522,522,0,d4,3e
523,523,0,85,46
524,524,0,a4,41
525,525,0,34,47
526,526,0,b4,37
527,527,0,93,44
528,528,0,50,45
529,529,0,f4,38
530,530,0,c3,3e
531,531,0,e3,3a
532,532,0,d3,42
533,533,0,cd,43
534,534,0,e4,37
535,535,0,e3,3d
536,536,0,23,7b
537,537,0,f4,3b
538,538,0,c0,4c
539,539,0,64,3e
540,540,0,f4,45
541,541,0,93,56
542,542,0,23,47
543,543,0,c6,42
544,544,0,44,35
545,545,0,44,4c
546,546,0,a4,39
547,547,0,3,4a
548,548,0,ca,45
549,549,0,94,49
550,550,0,54,45
551,551,0,e3,0
552,552,0,a3,39
553,553,0,52,4b
554,554,0,b4,3e
555,555,0,63,3c
556,556,0,44,3f
557,557,0,64,45
558,558,0,df,49
559,559,0,54,42
560,560,0,e4,3f
561,561,0,63,fe
562,562,0,84,47
563,563,0,52,40
564,564,0,34,44
565,565,0,84,49
566,566,0,94,0d
567,567,0,14,49
568,568,0,40,48
569,569,0,b4,41
570,570,0,d4,44
571,571,0,d3,93
572,572,0,73,42
573,573,0,d3,3f
574,574,0,c4,3a
575,575,0,c4,3b
576,576,0,83,4e
577,577,0,34,52
578,578,0,5,45
579,579,0,b4,4b
580,580,0,74,40
581,581,0,c3,7c
582,582,0,43,4e
583,583,0,39,44
584,584,0,14,3e
585,585,0,e4,39
586,586,0,c3,0d
587,587,0,a3,4d
588,588,0,f6,46
589,589,0,24,44
590,590,0,44,3a
591,591,0,43,59
592,592,0,34,47
593,593,0,26,42
594,594,0,84,3e
595,595,0,c4,41
596,596,0,c3,fd
597,597,0,d3,46
598,598,0,68,45
599,599,0,24,3c
600,600,0,b5,48
601,601,0,e3,5b
602,602,0,3,45
603,603,0,6b,4b
604,604,0,b4,3d
605,605,0,44,3b
606,606,0,93,d2
607,607,0,23,42
608,608,0,36,44
609,609,0,34,3c
610,610,0,14,33
611,611,0,b4,98
612,612,0,43,49
613,613,0,a9,3e
614,614,0,94,3f
615,615,0,4,3a
616,616,0,24,b9
617,617,0,c4,4e
618,618,0,3a,3f
619,619,0,a4,3e
620,620,0,63,30
621,621,0,f2,13
622,622,0,32,3c
623,623,0,d0,40
624,624,0,83,34
625,625,0,23,32
626,626,0,e3,fc
627,627,0,82,36
628,628,0,0f,34
629,629,0,84,38
630,630,0,a3,33
631,631,0,43,7a
632,632,0,e3,43
633,633,0,38,47
634,634,0,74,39
635,635,0,c4,3b
636,636,0,13,ff
637,637,0,f4,43
638,638,0,71,44
639,639,0,a4,3e
640,640,0,f4,3c
641,641,0,82,6
642,642,0,23,46
643,643,0,ce,4b
644,644,0,84,3b
645,645,0,54,33
646,646,0,e4,80
647,647,0,93,41
648,648,0,6f,48
649,649,0,e4,41
650,650,0,64,44
651,651,0,64,9b
652,652,0,f4,45
653,653,0,d4,49
654,654,0,d4,45
655,655,0,b4,40
656,656,0,a3,b5
657,657,0,b4,42
658,658,0,5b,4a
659,659,0,54,3c
660,660,0,14,3d
661,661,0,e4,38
662,662,0,d3,47
663,663,0,f1,49
664,664,0,e3,3d
665,665,0,64,3f
666,666,0,f4,27
667,667,0,a3,4b
668,668,0,d6,4b
669,669,0,74,3e
670,670,0,b4,3b
671,671,0,43,3e
672,672,0,b4,4b
673,673,0,dc,4c
674,674,0,d4,3c
675,675,0,a4,42
676,676,0,23,43
677,677,0,24,4e
678,678,0,8c,4e
679,679,0,54,3f
680,680,0,4,38
681,681,0,a4,3d
682,682,0,13,42
683,683,0,42,42
684,684,0,c4,3d
685,685,0,54,47
686,686,0,23,8f
687,687,0,14,48
688,688,0,2,3f
689,689,0,34,44
690,690,0,14,36
691,691,0,c5,8c
692,692,0,23,4c
693,693,0,84,48
694,694,0,14,46
695,695,0,54,43
696,696,0,74,e6
697,697,0,54,51
698,698,0,b2,45
699,699,0,54,3c
700,700,0,f4,40
701,701,0,e3,83
702,702,0,63,4e
703,703,0,d7,4d
704,704,0,84,3e
705,705,0,d4,3d
706,706,0,d3,c2
707,707,0,d3,49
708,708,0,60,43
709,709,0,94,35
710,710,0,84,35
711,711,0,f3,1
712,712,0,e3,4e
713,713,0,e2,4e
714,714,0,54,38
715,715,0,95,42
716,716,0,33,a4
717,717,0,74,45
718,718,0,1b,4a
719,719,0,94,3d
720,720,0,a4,41
721,721,0,a4,0e
722,722,0,b4,54
723,723,0,5d,47
724,724,0,34,4a
725,725,0,5,47
726,726,0,94,c5
727,727,0,33,4a
728,728,0,bf,45
729,729,0,b4,2f
730,730,0,d4,3c
731,731,0,c3,53
732,732,0,3,52
733,733,0,b4,4f
734,734,0,84,44
735,735,0,e4,3f
736,736,0,93,64
737,737,0,b3,4f
738,738,0,ec,40
739,739,0,e4,3e
740,740,0,e4,3d
741,741,0,13,8d
742,742,0,34,51
743,743,0,0b,4b
744,744,0,5,38
745,745,0,f5,4a
746,746,0,23,14
747,747,0,74,49
748,748,0,ad,4d
749,749,0,d4,44
750,750,0,74,39
751,751,0,74,f2
752,752,0,24,45
753,753,0,ee,43
754,754,0,84,44
755,755,0,14,45
756,756,0,b4,3c
757,757,0,b3,41
758,758,0,61,51
759,759,0,94,3f
760,760,0,14,33
761,761,0,e3,3a
762,762,0,a3,3d
763,763,0,3f,4b
764,764,0,34,34
765,765,0,4,3e
766,766,0,d4,5c
767,767,0,b3,55
768,768,0,63,49
769,769,0,64,37
770,770,0,64,32
